Vehicle,ID,Time,Start Direction,End Direction,Movement,Vehicle Turn Movement,Valid,Direction Detected,Notes
Car,3098,4:02,E,W,T,WBT,Yes,E->W,
Car,3096,4:02,W,E,T,EBT,Yes,W->E,
Car,3101,4:02,E,W,T,WBT,Yes,E->W,
Car,3105,4:02,E,W,T,WBT,Yes,E->W,
Car,3110,4:02,E,W,T,WBT,Yes,E->W,
Car,3116,4:02,E,W,T,WBT,Yes,E->W,
Car,3118,4:02,W,N,L,EBL,Yes,W->N,
Car,3122,4:02,E,W,T,WBT,Yes,E->W,
Car,3121,4:02,W,E,T,EBT,Yes,W->E,
Car,3124,4:02,E,W,T,WBT,Yes,E->W,
Car,3129,4:02,E,W,T,WBT,Yes,E->W,
Car,3131,4:02,W,E,T,EBT,Yes,W->E,
Car,3132,4:02,E,W,T,WBT,Yes,E->W,
Car,3135,4:02,E,W,T,WBT,Yes,E->W,
Car,3140,4:02,E,W,T,WBT,No,W->W,Switched IDs middle of intersection
Car,3143,4:02,E,W,T,WBT,Yes,E->W,
Car,3144,4:02,E,W,T,WBT,Yes,E->W,
Car,3148,4:03,E,W,T,WBT,Yes,E->W,
Car,3149,4:03,W,E,T,EBT,Yes,W->E,
Car,3152,4:03,E,W,T,WBT,Yes,E->W,
Car,3155,4:03,W,E,T,EBT,Yes,W->E,
Car,3156,4:03,W,E,T,EBT,Yes,W->E,
Bus,3181,4:03,S,E,R,NBR,Undetected,,Detected as a car
Car,3157,4:03,E,W,T,WBT,Yes,E->W,
Car,3159,4:03,W,E,T,EBT,Yes,W->E,
Car,3190,4:03,N,S,T,SBT,Yes,N->S,
Car,3232,4:03,E,W,T,WBT,Yes,E->W,
Car,3162,4:03,W,E,T,EBT,Yes,W->E,
Car,3236,4:03,E,W,T,WBT,Yes,E->W,
Car,3168,4:03,W,E,T,EBT,Yes,W->E,
Car,3240,4:03,E,W,T,WBT,Yes,E->W,
Car,3176,4:03,W,E,T,EBT,Yes,W->E,
Car,3244,4:03,E,W,T,WBT,Yes,E->W,
Car,3245,4:03,W,E,T,EBT,Yes,W->E,
Car,3250,4:03,W,E,T,EBT,Yes,W->E,
Car,3251,4:03,E,W,T,WBT,Yes,E->W,
Car,3252,4:03,W,E,T,EBT,Yes,W->E,
Car,3257,4:04,E,W,T,WBT,Yes,E->W,
Car,3261,4:04,W,E,T,EBT,Yes,W->E,
Car,3262,4:04,E,W,T,WBT,Yes,E->W,
Car,3260,4:04,W,E,T,EBT,Yes,W->E,
Car,3263,4:04,E,W,T,WBT,Yes,E->W,
Car,3267,4:04,E,N,R,WBR,Yes,E->N,
Car,3264,4:04,W,E,T,EBT,Yes,W->E,
Car,3271,4:04,E,W,T,WBT,Yes,E->W,
Car,3270,4:04,W,E,T,EBT,Yes,W->E,
Car,3273,4:04,W,E,T,EBT,Yes,W->E,
Car,3280,4:04,E,W,T,WBT,Yes,E->W,
Car,3287,4:04,E,W,T,WBT,Yes,E->W,
Car,3283,4:04,W,E,T,EBT,Yes,W->E,
Car,3290,4:04,E,W,T,WBT,Yes,E->W,
Car,3291,4:04,W,E,T,EBT,Yes,W->E,
Car,3297,4:04,W,E,T,EBT,Yes,W->E,
Car,3295,4:04,E,W,T,WBT,Yes,E->W,
Car,3300,4:04,E,W,T,WBT,Yes,E->W,
Car,3223,4:04,W,N,L,EBL,Yes,W->N,
Car,3302,4:04,W,E,T,EBT,Yes,W->E,
Car,3304,4:04,E,W,T,WBT,Yes,E->W,
Car,3306,4:04,W,E,T,EBT,Yes,W->E,
Car,3310,4:04,E,W,T,WBT,Yes,E->W,
Car,3308,4:04,W,E,T,EBT,Yes,W->E,
Car,3313,4:04,E,W,T,WBT,Yes,E->W,
Bus,3315,4:04,W,E,T,EBT,Undetected,,Detected in middle of intersection
Car,3319,4:04,E,W,T,WBT,Yes,E->W,
Car,3320,4:04,W,E,T,EBT,Yes,W->E,
Car,3323,4:04,E,W,T,WBT,Yes,E->W,
Car,3325,4:04,W,E,T,EBT,Yes,W->E,
Car,3328,4:04,E,W,T,WBT,Yes,E->W,
Car,3329,4:04,W,E,T,EBT,Yes,W->E,
Car,3332,4:04,E,W,T,WBT,Yes,E->W,
Car,3331,4:04,W,E,T,EBT,Yes,W->E,
Car,3338,4:04,E,W,T,WBT,Yes,E->W,
Car,3337,4:04,W,E,T,EBT,Yes,W->E,
Car,3346,4:04,E,W,T,WBT,Yes,E->W,
Car,3342,4:04,W,E,T,EBT,Yes,W->E,
Car,3349,4:04,W,E,T,EBT,Yes,W->E,
Car,3351,4:04,W,E,T,EBT,Yes,W->E,
Car,3353,4:04,E,W,T,WBT,Yes,E->W,
Car,3354,4:04,W,E,T,EBT,Yes,W->E,
Car,3356,4:05,W,N,L,EBL,Yes,W->N,
Car,3373,4:05,W,E,T,EBT,Yes,W->E,
Car,3372,4:05,E,W,T,WBT,Yes,E->W,
Car,3383,4:05,E,W,T,WBT,Yes,E->W,
Car,3379,4:05,W,E,T,EBT,Yes,W->E,
Car,3384,4:05,E,W,T,WBT,Yes,E->W,
Car,3385,4:05,W,E,T,EBT,Yes,W->E,
Car,3389,4:05,W,E,T,EBT,Yes,W->E,
Car,3390,4:05,W,E,T,EBT,Yes,W->E,
Car,3394,4:05,E,W,T,WBT,Yes,E->W,
Car,3393,4:05,W,E,T,EBT,Yes,W->E,
Car,3397,4:05,W,E,T,EBT,Yes,W->E,
Car,3400,4:05,E,W,T,WBT,Yes,E->W,
Car,3402,4:05,W,E,T,EBT,Yes,W->E,
Car,3404,4:05,E,W,T,WBT,Yes,E->W,
Car,3405,4:05,W,E,T,EBT,Yes,W->E,
Car,3408,4:05,E,W,T,WBT,Yes,E->W,
Car,3409,4:05,W,E,T,EBT,Yes,W->E,
Car,3412,4:06,W,E,T,EBT,Yes,W->E,
Car,3413,4:06,W,E,T,EBT,Yes,W->E,
Car,3415,4:06,W,E,T,EBT,Yes,W->E,
Car,3416,4:06,W,E,T,EBT,Yes,W->E,
Car,3425,4:06,W,E,T,EBT,Yes,W->E,
Car,3426,4:06,W,E,T,EBT,Yes,W->E,
Car,3431,4:06,W,E,T,EBT,Yes,W->E,
Car,3435,4:06,W,E,T,EBT,Yes,W->E,
Car,3447,4:06,W,E,T,EBT,Yes,W->E,
Car,3449,4:06,E,W,T,WBT,Yes,E->W,
Car,3452,4:06,W,E,T,EBT,Yes,W->E,
Car,3453,4:06,W,E,T,EBT,Yes,W->E,
Car,3454,4:06,W,E,T,EBT,Yes,W->E,
Car,3462,4:06,N,E,L,SBL,Yes,N->E,
Car,3467,4:07,N,W,R,SBR,Yes,N->W,
Car,3473,4:07,N,E,L,SBL,Yes,N->E,
Car,3479/3480,4:07,N,W,R,SBR,Undetected,,Detected in middle of intersection + changed IDs
Car,3488,4:07,N,W,R,SBR,Yes,N->W,
Car,3455,4:07,W,E,T,EBT,Yes,W->E,
Car,3496,4:07,E,W,T,WBT,Yes,E->W,
Car,3498,4:07,E,W,T,WBT,Yes,E->W,
Car,3493,4:07,W,E,T,EBT,Yes,W->E,
Car,3501,4:07,E,W,T,WBT,Yes,E->W,
Car,3503,4:07,E,W,T,WBT,Yes,E->W,
Car,3500,4:07,W,E,T,EBT,Yes,W->E,
Car,3509,4:07,E,W,T,WBT,Yes,E->W,
Car,3508,4:07,E,W,T,WBT,Yes,E->W,
Car,3517,4:07,E,W,T,WBT,Yes,E->W,
Car,3514,4:07,W,E,T,EBT,Yes,W->E,
Car,3515,4:07,W,E,T,EBT,Yes,W->E,
Car,3521,4:07,E,W,T,WBT,Yes,E->W,
Car,3518,4:07,W,E,T,EBT,Yes,W->E,
Car,3521,4:07,E,W,T,WBT,Yes,E->W,
Car,3525,4:07,E,W,T,WBT,Yes,E->W,
Car,3527,4:07,W,E,T,EBT,Yes,W->E,
Car,3528,4:07,W,E,T,EBT,Yes,W->E,
Car,3535,4:07,E,W,T,WBT,No,W->W ,Detected in middle of intersection 
Car,3539,4:07,E,W,T,WBT,Yes,E->W,
Car,3529,4:07,N,W,R,SBR,Yes,N->W,
Car,3543,4:07,W,N,L,EBL,Yes,W->N,
Car,3544,4:07,W,E,T,EBT,Yes,W->E,
Car,3547,4:08,E,W,T,WBT,Yes,E->W,
Car,3550,4:08,E,W,T,WBT,Yes,E->W,
Car,3554,4:08,E,W,T,WBT,Yes,E->W,
Car,3556,4:08,E,W,T,WBT,Yes,E->W,
Car,3555,4:08,W,E,T,EBT,Yes,W->E,
Car,3557,4:08,W,E,T,EBT,Yes,W->E,
Car,3560,4:08,W,E,T,EBT,Yes,W->E,
Car,3561,4:08,E,W,T,WBT,Yes,E->W,
Car,3562,4:08,W,E,T,EBT,Yes,W->E,
Car,3568,4:08,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3570,4:08,W,E,T,EBT,Yes,W->E,
Car,3572,4:08,E,W,T,WBT,Yes,E->W,
Car,3575,4:08,W,E,T,EBT,Undetected,,Changed IDs in middle of intersection
Car,3581,4:08,E,W,T,WBT,Yes,E->W,
Car,3582,4:08,W,E,T,EBT,Yes,W->E,
Car,3586,4:08,E,W,T,WBT,Yes,E->W,
Car,3587,4:08,W,E,T,EBT,Yes,W->E,
Car,3591,4:08,E,W,T,WBT,Yes,E->W,
Car,3595/3596,4:08,W,E,T,EBT,Undetected,,Changed IDs in middle of intersection
Car,3598,4:08,E,W,T,WBT,Yes,E->W,
Car,3602,4:08,W,E,T,EBT,Yes,W->E,
Car,3605,4:08,N,E,L,SBL,Yes,N->E,
Car,3604,4:08,W,E,T,EBT,Yes,W->E,
Car,3617,4:09,E,W,T,WBT,Yes,E->W,
Car,3619,4:09,W,E,T,EBT,Yes,W->E,
Car,3621,4:09,E,W,T,WBT,Yes,E->W,
Car,3622,4:09,W,E,T,EBT,Yes,W->E,
Car,3625,4:09,E,W,T,WBT,Yes,E->W,
Car,3626,4:09,W,E,T,EBT,Yes,W->E,
Car,3629,4:09,E,W,T,WBT,Yes,E->W,
Car,3630,4:09,W,E,T,EBT,Yes,W->E,
Car,3635,4:09,E,W,T,WBT,Yes,E->W,
Car,3633,4:09,W,E,T,EBT,Yes,W->E,
Car,3639,4:09,W,E,T,EBT,Yes,W->E,
Car,3645,4:09,E,W,T,WBT,Yes,E->W,
Car,3644,4:09,W,E,T,EBT,Yes,W->E,
Car,3649,4:09,E,W,T,WBT,Yes,E->W,
Car,3655,4:09,W,E,T,EBT,Yes,W->E,
Car,3658,4:09,E,W,T,WBT,Yes,E->W,
Car,3661,4:09,W,E,T,EBT,Yes,W->E,
Car,3666,4:09,E,W,T,WBT,Yes,E->W,
Car,3664,4:09,W,E,T,EBT,Yes,W->E,
Car,3668,4:09,W,E,T,EBT,Yes,W->E,
Car,3667,4:09,E,W,T,WBT,Yes,E->W,
Car,3672,4:09,W,E,T,EBT,Yes,W->E,
Car,3673,4:09,E,W,T,WBT,Yes,E->W,
Car,3646,4:09,W,N,L,EBL,Yes,W->N,
Car,3676,4:09,W,E,T,EBT,No,W->W ,Bus blocked ID
Bus,3678,4:09,E,W,T,WBT,No,E->E,Detected in middle of intersection
Car,3681,4:09,W,E,T,EBT,Yes,W->E,
Car,3684,4:09,W,E,T,EBT,Yes,W->E,
Car,3686,4:09,E,W,T,WBT,Yes,E->W,
Car,3687,4:10,E,W,T,WBT,Yes,E->W,
Car,3689,4:10,W,E,T,EBT,Yes,W->E,
Car,3691,4:10,E,W,T,WBT,Yes,E->W,
Car,3695,4:10,E,W,T,WBT,Yes,E->W,
Car,3699,4:10,E,W,T,WBT,Yes,E->W,
Car,3701,4:10,E,W,T,WBT,Yes,E->W,
Car,3703,4:10,W,E,T,EBT,Yes,W->E,
Car,3704,4:10,E,W,T,WBT,Yes,E->W,
Car,3709,4:10,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3711,4:10,W,E,T,EBT,Yes,W->E,
Car,3712,4:10,E,W,T,WBT,Yes,E->W,
Car,3715,4:10,W,E,T,EBT,Yes,W->E,
Car,3718,4:10,W,E,T,EBT,Yes,W->E,
Car,3717,4:10,E,W,T,WBT,Yes,E->W,
Car,3721,4:10,E,W,T,WBT,Yes,E->W,
Car,3723,4:10,E,W,T,WBT,Yes,E->W,
Car,3726,4:10,N,W,R,SBR,Yes,N->W,
Car,3731,4:10,W,E,T,EBT,No,W->W ,Bus blocked ID
Car,3734,4:11,N,W,R,SBR,Yes,N->W,
Car,3742,4:11,W,E,T,EBT,Yes,W->E,
Car,3735,4:10,W,E,T,EBT,Yes,W->E,
Bus,3739,4:11,E,W,T,WBT,No,E->E,
Car,3748,4:11,W,E,T,EBT,Yes,W->E,
Car,3754,4:11,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3755,4:11,W,E,T,EBT,Yes,W->E,
Car,3757,4:11,E,W,T,WBT,Yes,E->W,
Car,3761,4:11,E,W,T,WBT,Yes,E->W,
Car,3764,4:11,E,W,T,WBT,Yes,E->W,
Car,3770,4:11,W,E,T,EBT,Yes,W->E,
Car,3771,4:11,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3773,4:11,W,E,T,EBT,Yes,W->E,
Car,3775,4:11,E,W,T,WBT,Yes,E->W,
Car,3776,4:11,W,S,R,EBR,Yes,W->S,
Car,3781,4:11,W,E,T,EBT,Yes,W->E,
Bus,3785,4:11,E,W,T,WBT,No,E->E,
Car,3792,4:11,E,W,T,WBT,Yes,E->W,
Car,3782/3789,4:11,W,E,T,EBT,Undetected,,Bus blocked ID
Car,3791,4:11,W,E,T,EBT,Yes,W->E,
Car,3798,4:11,W,E,T,EBT,Yes,W->E,
Car,3802,4:11,E,W,T,WBT,Yes,E->W,
Car,3805,4:11,W,E,T,EBT,Yes,W->E,
Car,3803,4:11,W,E,T,EBT,Yes,W->E,
Car,3813,4:11,W,E,T,EBT,Yes,W->E,
Car,3807,4:11,E,W,T,WBT,Yes,E->W,
Car,3812,4:11,E,W,T,WBT,Yes,E->W,
Bus,3818,4:11,E,W,T,WBT,Yes,E->W,
Car,3821,4:12,E,W,T,WBT,Yes,E->W,
Car,3823,4:12,E,W,T,WBT,Yes,E->W,
Car,3827,4:12,E,W,T,WBT,Yes,E->W,
Car,3831,4:12,E,W,T,WBT,Yes,E->W,
Car,3835,4:12,E,W,T,WBT,Yes,E->W,
Car,3834,4:12,W,E,T,EBT,Yes,W->E,
Car,3837,4:12,W,E,T,EBT,Yes,W->E,
Car,3848,4:12,N,E,L,SBL,Yes,N->E,
Car,3862,4:12,W,E,T,EBT,Yes,W->E,
Car,3843,4:12,W,E,T,EBT,Yes,W->E,
Car,3861,4:12,E,W,T,WBT,Yes,E->W,
Car,3864,4:12,E,W,T,WBT,Yes,E->W,
Car,3866,4:12,W,E,T,EBT,Yes,W->E,
Car,3867,4:13,E,W,T,WBT,Yes,E->W,
Car,3871,4:13,E,W,T,WBT,Yes,E->W,
Car,3869,4:13,W,E,T,EBT,Yes,W->E,
Car,3877,4:13,W,E,T,EBT,Yes,W->E,
Car,3884,4:13,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3876,4:13,W,E,T,EBT,Yes,W->E,
Car,3888,4:13,W,E,T,EBT,No,W->W ,Truck blocked ID
Car,3894,4:13,E,W,T,WBT,Yes,E->W,
Car,3891/3897,4:13,W,E,T,EBT,Undetected,,Truck blocked ID
Car,3899,4:13,W,E,T,EBT,Yes,W->E,
Car,3902,4:13,E,W,T,WBT,Yes,E->W,
Car,3907,4:13,W,E,T,EBT,Yes,W->E,
Car,3909,4:13,E,W,T,WBT,Yes,E->W,
Car,3913,4:13,E,W,T,WBT,Yes,E->W,
Car,3911,4:13,W,E,T,EBT,Yes,W->E,
Bus,3920,4:13,W,E,T,EBT,No,E->E,Detected in middle of intersection
Car,3923,4:13,E,W,T,WBT,Yes,E->W,
Car,3918,4:13,W,E,T,EBT,Yes,W->E,
Car,3930,4:13,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3925,4:13,W,E,T,EBT,Yes,W->E,
Car,3927,4:13,W,E,T,EBT,Yes,W->E,
Car,3936,4:13,E,W,T,WBT,Yes,E->W,
Car,3935,4:13,W,E,T,EBT,Yes,W->E,
Car,3940,4:13,E,N,R,WBR,Yes,E->N,
Car,3941,4:13,W,E,T,EBT,Yes,W->E,
Car,3946,4:13,E,W,T,WBT,Yes,E->W,
Car,3944,4:13,W,E,T,EBT,Yes,W->E,
Car,3951,4:13,E,W,T,WBT,Yes,E->W,
Car,3949,4:13,W,E,T,EBT,Yes,W->E,
Car,3956,4:13,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,3957,4:13,W,E,T,EBT,Yes,W->E,
Car,3961,4:13,E,W,T,WBT,Yes,E->W,
Car,3965,4:13,W,E,T,EBT,Yes,W->E,
Car,3968,4:13,E,W,T,WBT,Yes,E->W,
Car,3975,4:13,E,W,T,WBT,Yes,E->W,
Car,3983,4:13,E,W,T,WBT,Yes,E->W,
Car,3989,4:14,E,W,T,WBT,Yes,E->W,
Car,3990,4:14,E,W,T,WBT,No,W->W ,Stalled over crosswalk
Car,3993,4:14,W,E,T,EBT,Yes,W->E,
Car,3994,4:14,E,W,T,WBT,No,W->W ,Stalled over crosswalk
Car,3999,4:14,W,E,T,EBT,Yes,W->E,
Car,4005,4:14,E,W,T,WBT,Undetected,,Stalled over crosswalk
Bus,4017/4033,4:14,S,E,R,NBR,Undetected,,Changed IDs in middle of intersection
Car,4023,4:14,N,W,R,SBR,Yes,N->W,
Car,4036,4:14,W,E,T,EBT,Yes,W->E,
Car,4047,4:14,W,E,T,EBT,Yes,W->E,
Car,4056,4:14,E,W,T,WBT,Yes,E->W,
Car,4061,4:14,E,W,T,WBT,Yes,E->W,
Car,4058,4:14,W,E,T,EBT,Yes,W->E,
Car,4063,4:14,E,W,T,WBT,Yes,E->W,
Car,4062,4:14,W,E,T,EBT,Yes,W->E,
Car,4067,4:14,E,W,T,WBT,Yes,E->W,
Car,4068,4:14,W,E,T,EBT,Yes,W->E,
Car,4072,4:14,E,W,T,WBT,Yes,E->W,
Car,4078,4:14,E,W,T,WBT,Yes,E->W,
Car,4082,4:14,E,W,T,WBT,Yes,E->W,
Car,4083,4:14,W,E,T,EBT,Yes,W->E,
Car,4087,4:15,E,W,T,WBT,Yes,E->W,
Car,4088,4:15,E,W,T,WBT,Undetected,,
Car,4091,4:15,E,W,T,WBT,Yes,E->W,
Car,4092,4:15,W,E,T,EBT,Yes,W->E,
Car,4094,4:15,W,E,T,EBT,Yes,W->E,
Car,4098,4:15,W,E,T,EBT,Yes,W->E,
Car,4101,4:15,W,E,T,EBT,Yes,W->E,
Car,4106,4:15,W,E,T,EBT,Yes,W->E,
Car,4113,4:15,W,E,T,EBT,Yes,W->E,
Car,4115,4:15,W,E,T,EBT,Yes,W->E,
Car,4121,4:15,W,E,T,EBT,Yes,W->E,
Car,4122,4:15,E,W,T,WBT,Yes,E->W,
Car,4129,4:15,E,N,R,WBR,Yes,E->N,
Car,4132,4:15,E,W,T,WBT,Yes,E->W,
Car,4137,4:15,E,W,T,WBT,Yes,E->W,
Car,4136,4:15,W,E,T,EBT,Yes,W->E,
Car,4144,4:15,E,W,T,WBT,Yes,E->W,
Car,4142,4:15,W,E,T,EBT,Undetected,,Stalled in middle of intersection
Car,4148,4:15,E,W,T,WBT,Yes,E->W,
Car,4153,4:15,E,W,T,WBT,Yes,E->W,
Car,4156,4:15,E,W,T,WBT,Yes,E->W,
Car,4162,4:15,E,W,T,WBT,Yes,E->W,
Car,4152,4:15,W,E,T,EBT,Yes,W->E,
Car,4158,4:15,W,E,T,EBT,Yes,W->E,
Car,4172,4:16,E,W,T,WBT,Yes,E->W,
Car,4187,4:16,E,W,T,WBT,Yes,E->W,
Car,4191,4:16,E,W,T,WBT,Yes,E->W,
Car,4190,4:16,W,E,T,EBT,No,E->E,Stalled in middle of intersection
Car,4196,4:16,E,W,T,WBT,Yes,E->W,
Car,4197,4:16,W,E,T,EBT,No,E->E,Stalled in middle of intersection
Car,4202,4:16,E,W,T,WBT,Yes,E->W,
Car,4206,4:16,E,W,T,WBT,Yes,E->W,
Car,4205,4:16,W,E,T,EBT,No,W->W ,Stalled over crosswalk
Car,4216,4:16,E,W,T,WBT,Yes,E->W,
Car,4221,4:16,E,W,T,WBT,Yes,E->W,
Car,4211,4:16,W,E,T,EBT,Yes,W->E,
Car,4223,4:16,E,W,T,WBT,Yes,E->W,
Car,4229,4:16,E,W,T,WBT,Yes,E->W,
Car,4233,4:16,E,W,T,WBT,Yes,E->W,
Car,4213,4:16,W,E,T,EBT,Yes,W->E,
Car,4227,4:16,W,E,T,EBT,Yes,W->E,
Car,4237,4:17,W,E,T,EBT,Yes,W->E,
Car,4245,4:17,E,W,T,WBT,Yes,E->W,
Car,4237,4:17,W,E,T,EBT,Yes,W->E,
Car,4248,4:17,E,W,T,WBT,Yes,E->W,
Car,4247,4:17,W,E,T,EBT,Yes,W->E,
Car,4253,4:17,E,W,T,WBT,Yes,E->W,
Car,4259,4:17,W,E,T,EBT,Yes,W->E,
Car,4263,4:17,E,N,R,WBR,Yes,E->N,
Car,4260,4:17,W,E,T,EBT,Yes,W->E,
Car,4266,4:17,E,W,T,WBT,Yes,E->W,
Car,4262,4:17,W,E,T,EBT,Yes,W->E,
Car,4271,4:17,W,E,T,EBT,Yes,W->E,
Car,4274,4:17,W,E,T,EBT,Yes,W->E,
Car,4278,4:17,W,E,T,EBT,Yes,W->E,
Car,4279,4:17,E,W,T,WBT,Yes,E->W,
Car,4277,4:17,W,E,T,EBT,Yes,W->E,
Car,4283,4:17,W,E,T,EBT,Yes,W->E,
Car,4285,4:17,E,W,T,WBT,Yes,E->W,
Car,4290,4:17,E,W,T,WBT,Yes,E->W,
Car,4292,4:17,E,W,T,WBT,Yes,E->W,
Car,4297,4:17,E,W,T,WBT,Yes,E->W,
Car,4296,4:17,W,E,T,EBT,Yes,W->E,
Car,4301,4:17,W,E,T,EBT,Yes,W->E,
Car,4319,4:17,N,E,L,SBL,Yes,N->E,
Car,4323,4:18,N,W,R,SBR,Yes,N->W,
Car,4329,4:18,W,N,L,EBL,Yes,W->N,
Car,4309,4:18,W,E,T,EBT,Yes,W->E,
Car,4334,4:18,W,E,T,EBT,Yes,W->E,
Car,4335,4:18,W,E,T,EBT,Yes,W->E,
Car,4341,4:18,E,W,T,WBT,Yes,E->W,
Car,4340,4:18,W,E,T,EBT,Yes,W->E,
Car,4345,4:18,E,W,T,WBT,Yes,E->W,
Car,4343,4:18,W,E,T,EBT,Yes,W->E,
Car,4348,4:18,E,W,T,WBT,Yes,E->W,
Car,4351,4:18,E,W,T,WBT,Yes,E->W,
Car,4350,4:18,W,E,T,EBT,Yes,W->E,
Car,4349,4:18,W,S,R,EBR,Yes,W->S,
Car,4358,4:18,E,W,T,WBT,Yes,E->W,
Car,4356,4:18,W,E,T,EBT,Yes,W->E,
Car,4360,4:18,E,W,T,WBT,Yes,E->W,
Car,4362,4:18,W,E,T,EBT,Yes,W->E,
Car,4365,4:18,W,E,T,EBT,Yes,W->E,
Car,4367,4:18,W,E,T,EBT,Yes,W->E,
Car,4368,4:18,E,W,T,WBT,Yes,E->W,
Car,4370,4:19,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,4371,4:19,E,W,T,WBT,Yes,E->W,
Car,4372,4:19,W,E,T,EBT,Yes,W->E,
Car,4376,4:19,E,W,T,WBT,Yes,E->W,
Car,4377,4:19,W,E,T,EBT,Yes,W->E,
Car,4384,4:19,W,E,T,EBT,Yes,W->E,
Car,4390,4:19,E,W,T,WBT,Yes,E->W,
Car,4392,4:19,W,E,T,EBT,Yes,W->E,
Car,4394,4:19,E,W,T,WBT,No,W->W ,ID changed in middle of intersection
Car,4397,4:19,E,W,T,WBT,Yes,E->W,
Car,4401,4:19,E,W,T,WBT,Yes,E->W,
Car,4402,4:19,W,E,T,EBT,Yes,W->E,
Car,4403,4:19,E,W,T,WBT,Yes,E->W,
Car,4385,4:19,W,N,L,EBL,Yes,W->N,
Car,4405,4:19,W,E,T,EBT,Yes,W->E,
Car,4407,4:19,W,E,T,EBT,No,W->W ,Bus blocked ID
Bus,4409,4:19,E,W,T,WBT,No,E->E,
Car,4408/4412,4:19,W,E,T,EBT,Undetected,,Bus blocked ID
Car,4417,4:19,W,E,T,EBT,Yes,W->E,
Car,4421,4:19,N,E,L,SBL,Yes,N->E,
Car,4431,4:19,N,E,L,SBL,No,E->E,Detected in middle of intersection
Car,4435,4:19,W,E,T,EBT,Yes,W->E,
Car,4450,4:20,E,W,T,WBT,Yes,E->W,
Car,4456,4:20,E,W,T,WBT,Yes,E->W,
Car,4460,4:20,E,W,T,WBT,Yes,E->W,
Car,4453,4:20,W,E,T,EBT,Yes,W->E,
Car,4463,4:20,E,W,T,WBT,Yes,E->W,
Car,4468,4:20,W,E,T,EBT,Yes,W->E,
Car,4471,4:20,E,W,T,WBT,Undetected,,Detected in middle of intersection
Car,4479,4:20,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,4485,4:20,W,E,T,EBT,Yes,W->E,
Car,4488,4:20,W,E,T,EBT,Yes,W->E,
Car,4489,4:20,E,W,T,WBT,Yes,E->W,
Car,4493,4:20,E,W,T,WBT,Yes,E->W,
Car,4498,4:20,E,W,T,WBT,Yes,E->W,
Car,4502,4:20,E,W,T,WBT,Yes,E->W,
Car,4503,4:20,W,E,T,EBT,Yes,W->E,
Car,4507,4:20,E,W,T,WBT,Yes,E->W,
Car,4508,4:20,W,E,T,EBT,Yes,W->E,
Car,4511,4:21,W,S,R,EBR,Yes,W->S,
Car,4519,4:21,W,E,T,EBT,Yes,W->E,
Car,4521,4:21,E,W,T,WBT,Yes,E->W,
Car,4526,4:21,W,E,T,EBT,Yes,W->E,
Car,4530,4:21,W,E,T,EBT,Yes,W->E,
Car,4534,4:21,W,E,T,EBT,Yes,W->E,
Car,4536,4:21,E,W,T,WBT,Yes,E->W,
Car,4537,4:21,E,W,T,WBT,Yes,E->W,
Car,4539/4547,4:21,W,E,T,EBT,Undetected,,Changed IDs in middle of intersection
Car,4544,4:21,E,W,T,WBT,Yes,E->W,
Car,4556,4:21,W,E,T,EBT,Undetected,,Changed IDs in middle of intersection
Car,4563,4:21,N,E,L,SBL,Yes,N->E,
Car,4566,4:21,S,E,R,NBR,Yes,S->E,
Car,4554,4:21,W,E,T,EBT,Yes,W->E,
Car,4559,4:21,W,E,T,EBT,Yes,W->E,
Car,4585,4:21,E,W,T,WBT,Yes,E->W,
Car,4571,4:21,W,E,T,EBT,Yes,W->E,
Car,4587,4:22,E,W,T,WBT,Yes,E->W,
Car,4588,4:22,W,R,T,EBT,Yes,W->R,
Car,4596,4:22,E,W,T,WBT,Yes,E->W,
Car,4589,4:22,W,N,L,EBL,Yes,W->N,
Car,4595,4:22,W,E,T,EBT,Yes,W->E,
Car,4598,4:22,W,E,T,EBT,Yes,W->E,
Car,4602,4:22,E,W,T,WBT,Yes,E->W,
Car,4601,4:22,W,E,T,EBT,Yes,W->E,
Car,4606,4:22,E,W,T,WBT,Yes,E->W,
Car,4604,4:22,W,E,T,EBT,No,W->W ,SCHOOL BUS
Bus,4619/4523,4:22,E,W,T,WBT,Undetected,,Changed IDs in middle of intersection
Car,4612,4:22,W,E,T,EBT,No,W->W ,Bus blocked ID
Car,4616,4:22,E,W,T,WBT,Yes,E->W,
Car,4625,4:22,W,E,T,EBT,No,E->E,Bus blocked ID
Car,4630,4:22,W,E,T,EBT,Yes,W->E,
Car,4633,4:22,E,W,T,WBT,Yes,E->W,
Car,4635,4:22,W,E,T,EBT,Yes,W->E,
Car,4640,4:22,E,W,T,WBT,No,W->W ,Detected in middle of intersection
Car,4643,4:22,E,W,T,WBT,No,W->W ,Detected in middle of intersection
